Name,Allegiances,Book of Death,Male,Nobility,Book1,Book2,Book3,Book4,Book5
Maerie (Whore),None,3,0,0,0,0,1,0,0
Mag Mar Tun Doh Weg,Wildling,3,1,1,0,0,1,0,0
Mago,None,,1,0,1,0,0,0,0
Mallador Locke,Night's Watch,5,1,0,0,1,1,0,0
Malliard,Lannister,,1,0,0,1,0,0,0
Mallor,House Lannister,,1,0,1,0,0,0,0
Mance Rayder,Wildling,,1,1,0,0,1,0,1
Mandon Moore,Baratheon,2,1,1,1,1,0,0,0
Maric Seaworth,House Baratheon,2,1,1,0,1,0,0,0
Marei,None,,0,0,0,1,0,0,0
Margaery Tyrell,House Tyrell,,0,1,0,1,1,1,0
Marillion,Arryn,4,1,0,1,0,1,1,0
Maris,Wildling,,0,0,0,0,0,0,1
Marissa Frey,None,,0,1,0,0,1,1,0
Mariya Darry,None,,0,1,0,0,0,1,0
Mark Mullendore,Tully,,1,1,0,1,0,0,0
Marlon Manderly,Stark,,1,1,0,0,0,0,1
Maron Volmark,Greyjoy,,1,1,0,0,0,1,0
Marq Piper,Tully,,1,1,1,0,1,0,0
Martyn Rivers,None,,1,1,1,1,1,0,0
Marwyn,None,,1,0,0,0,0,1,0
Marwyn Belmore,Arryn,,1,1,0,0,0,1,0
Masha Heddle,Tully,1,0,0,1,0,0,0,0
Maslyn,Night's Watch,3,1,0,0,0,1,0,0
Mathis Rowan,Lannister,,1,1,0,1,1,1,0
Mathos Mallarawan,None,,1,1,0,1,0,0,0
Matrice,Baratheon,,0,0,0,1,0,0,0
Matthos Seaworth,Baratheon,2,1,1,0,1,0,0,0
Matthar,Night's Watch,,1,0,1,0,0,0,0
Mawney,Night's Watch,5,1,0,0,0,1,0,1
Mebble,None,,1,0,0,1,0,0,0
Medger Cerwyn,Stark,2,1,1,1,1,0,0,0
Meera Reed,Stark,,0,1,0,1,1,0,1
Megga Tyrell,House Tyrell,,0,1,0,0,1,1,0
Meha,Wildling,,0,0,0,0,0,0,1
Mela,House Arryn,,0,0,0,0,0,1,0
Meldred Merlyn,Greyjoy,,1,1,0,0,0,1,0
Meliana,Stark,,0,0,0,0,1,0,0
Melisandre,Baratheon,,0,0,0,1,1,0,1
Mellei,House Martell,,0,0,0,0,0,1,0
Melly,None,,0,0,0,0,1,0,0
Meredyth Crane,Tyrell,,0,1,0,0,1,1,0
Meribald,None,,1,0,0,0,0,1,0
Merlon Crakehall,Lannister,,1,1,0,0,1,0,0
Mero,None,3,1,0,0,0,1,0,0
Merrett Frey,None,3,1,1,1,0,1,0,0
Meryn Trant,Lannister,,1,1,1,1,1,1,1
Mezzara,None,,0,1,0,0,0,0,1
Mikken,House Stark,2,1,0,1,1,0,0,0
Miklaz,None,,1,1,0,0,0,0,1
Mirri Maz Duur,None,1,0,0,1,0,0,0,0
Missandei,House Targaryen,,0,0,0,0,1,0,1
Mohor,None,1,1,1,1,0,0,0,0
Mollander,None,,1,0,0,0,0,1,0
Monford Velaryon,Baratheon,3,1,1,0,1,0,0,0
Monster,Wildling,,1,0,0,0,1,1,1
Moon Boy,Baratheon,,1,0,1,1,1,1,0
Moqorro,Greyjoy,,1,0,0,0,0,0,1
Mord,House Arryn,,1,0,1,0,0,1,0
Mordane,House Stark,1,0,0,1,0,0,0,0
Moreo Tumitis,None,,1,0,1,0,0,0,0
Morgarth,None,,1,0,0,0,0,1,0
Morna White Mask,Wildling,,0,1,0,0,0,0,1
Moro,None,,1,1,1,0,0,0,0
Morra,House Martell,,0,0,0,0,0,1,0
Morrec,House Lannister,1,1,0,1,0,0,0,0
Morros Slynt,Lannister,,1,1,0,1,1,0,0
Mors Manwoody,Martell,,1,1,0,0,1,0,0
Mors Umber,Stark,,1,1,0,1,0,0,0
Morton Waynwood,Arryn,,1,1,1,0,0,0,0
Mudge (miller),None,3,1,0,0,0,1,0,0
Mully,Night's Watch,,1,0,0,0,1,1,1
Munciter,Lannister,,1,0,0,1,0,0,0
Murch,Night's Watch,,1,0,0,1,0,0,0
Murch (Winterfell),House Stark,,1,0,0,1,0,0,0
Mossador,House Targaryen,5,1,0,0,0,1,0,1
Murenmure,Greyjoy,,1,0,0,0,0,1,0
Muttering Bill,Night's Watch,5,1,0,0,0,1,0,1
Mya Stone,Arryn,,0,0,1,0,0,1,0
Mycah,Stark,1,1,0,1,0,0,0,0
Myles,House Martell,,1,0,0,0,0,1,1
Myles Manwoody,Martell,,1,1,0,0,1,0,0
Myranda Royce,Arryn,,0,1,0,0,0,1,0
Myrcella Baratheon,Lannister,,0,1,1,1,0,1,0
Myria Jordayne,Martell,,0,0,0,0,1,0,1
Myrtle,Wildling,5,0,0,0,0,0,0,1
Nage,None,,1,0,0,0,1,0,0
Myles,House Tully,2,1,0,0,1,0,0,0
Nan,House Stark,,0,0,1,1,0,0,0
Narbert,None,,1,0,0,0,0,1,0
Nestor Royce,Arryn,,1,1,1,0,0,1,0
Nolla,None,3,0,0,0,0,1,0,0
Norjen,Greyjoy,,1,0,0,0,0,1,0
Nurse,None,5,1,0,0,0,0,0,1
Notch,None,,1,0,0,0,1,0,0
Nute,House Greyjoy,,1,0,0,0,0,1,0
Nymella Toland,Martell,,0,1,0,0,0,0,1
Nymeria Sand,House Martell,,0,1,0,0,0,1,1
Obara Sand,House Martell,,0,1,0,0,0,1,1
Oberyn Martell,House Martell,3,1,1,0,0,1,0,0
Ogo,None,1,1,1,1,0,0,0,0
Old Henly,Night's Watch,3,1,0,0,0,1,0,0
Olenna Redwyne,Tyrell,,0,1,0,0,1,1,0
Ollo Lophand,Night's Watch,5,1,0,0,0,1,0,1
Olyvar Frey,None,,1,1,1,0,0,0,0
Ondrew Locke,Stark,,1,1,0,0,0,0,1
Oppo,None,4,1,0,0,0,1,1,0
Orell,Wildling,2,1,0,0,1,0,0,0
Orphan Oss,Night's Watch,5,1,0,0,0,1,0,1
Orton Merryweather,Lannister,,1,1,0,0,1,1,0
Osfryd Kettleblack,Lannister,,1,1,0,1,1,1,0
Osha,House Stark,,0,0,1,1,0,0,0
Osmund Kettleblack,Lannister,,1,1,0,1,1,1,0
Osney Kettleblack,Lannister,,1,1,0,1,1,1,0
Ossy,Arryn,,1,0,0,0,0,1,0
Oswell Kettleblack,None,,1,1,0,0,1,0,0
Othell Yarwyck,Night's Watch,,1,0,1,0,1,0,1
Ottyn Wythers,Night's Watch,3,1,0,0,1,1,0,0
Owen,Night's Watch,,1,0,0,0,1,0,1
Owen Norrey,Tully,3,1,1,0,0,1,0,0
Oznak zo Pahl,None,3,1,1,0,0,1,0,0
Palla,House Stark,,0,0,0,1,0,0,0
Parmen Crane,Baratheon,,1,1,0,1,0,0,0
Patchface,Baratheon,,1,0,0,1,1,0,1
Pate (novice),None,4,1,0,0,0,0,1,0
Pate (Lancewood),None,3,1,0,0,0,1,0,0
Pate (Night's Watch),Night's Watch,,1,0,1,0,0,0,0
Pate (Old),None,,1,0,0,0,1,0,0
Patrek of King's Mountain,Baratheon,5,1,1,0,0,0,0,1
Patrek Mallister,Tully,,1,1,1,0,1,0,0
Paxter Redwyne,Tyrell,,1,1,0,1,1,1,0
Pello,None,,1,0,0,0,1,0,0
Penny,None,,0,0,0,0,1,0,1
Perros Blackmont,Martell,,1,1,0,0,1,0,0
Perwyn Frey,None,,1,1,1,1,0,0,0
Petyr Baelish,None,,1,0,1,1,1,1,0
Petyr Frey,None,3,1,1,0,0,1,0,0
Philip Foote,Lannister,,1,1,0,1,1,0,0
Pia,None,,0,0,0,1,0,1,0
Podrick Payne,Lannister,,1,1,1,1,1,1,0
Polliver,None,3,1,0,0,1,1,0,0
Pono,None,,1,1,1,0,0,0,0
Porridge,Baratheon,,1,0,0,0,1,0,0
Porther,House Stark,2,1,0,1,1,0,0,0
Poul Pemford,House Tully,2,1,0,0,1,0,0,0
Poxy Tym,House Stark,2,1,0,0,1,0,0,0
Praed,None,2,1,0,0,1,0,0,0
Prendahl na Ghezn,None,3,1,0,0,0,1,0,0
Preston Greenfield,Baratheon,2,1,0,1,1,0,0,0
Pyat Pree,None,,1,1,0,1,0,0,0
Pycelle,House Lannister,5,1,0,1,1,1,1,1
Pyg,None,4,1,0,0,0,1,1,0
Pylos,Baratheon,,1,0,0,1,1,0,0
Pypar,Night's Watch,,1,0,1,0,1,1,1
Qarl Shepherd,Greyjoy,,1,0,0,0,0,0,1
Qarl the Maid,Greyjoy,,1,0,0,1,0,1,1
Qezza,None,,0,0,0,0,0,0,1
Qhorin Halfhand,Night's Watch,2,1,0,0,1,0,0,0
Qotho,None,1,1,0,1,0,0,0,0
Quaithe,None,,0,1,0,1,1,0,1
Quaro,Targaryen,1,1,0,1,0,0,0,0
Quellon Humble,Greyjoy,,1,1,0,0,0,1,0
Quent,House Stark,,1,0,1,0,0,0,0
Quenten Banefort,Lannister,,1,1,0,0,0,1,0
Quentyn Martell,Martell,5,1,1,0,0,0,0,1
Quhuru Mo,None,,1,0,0,1,0,1,0
Qyburn,Lannister,,1,0,0,1,1,1,1
Quort,Wildling,3,1,0,0,0,1,0,0
Qyle,Night's Watch,2,1,0,0,1,0,0,0
Rafford,None,,1,0,0,1,0,1,0
Ragnor Pyke,House Greyjoy,,1,0,0,0,0,1,0
Ragwyle,Wildling,,0,0,0,1,0,0,0
Rakharo,House Targaryen,,1,0,1,1,1,0,1
Ralf Kenning,Greyjoy,5,1,0,0,0,0,1,1
Ralf Stonehouse,Greyjoy,,1,1,0,0,0,0,1
Ralf the Limper,Greyjoy,,1,0,0,0,0,1,1
Ramsay Snow,None,,1,1,0,1,0,0,1
Randa,None,3,0,0,0,0,1,0,0
Randyll Tarly,Tyrell,,1,1,0,1,0,1,1
Rast,Night's Watch,3,1,0,1,0,1,0,0
Ravella Swann,Tully,,0,1,0,0,1,0,0
Raymar Royce,Arryn,,1,1,0,0,1,0,0
Raymun Darry,Targaryen,1,1,1,1,0,0,0,0
Raymund Frey,None,,1,1,0,0,1,0,0
Raynald Westerling,Stark,3,1,1,0,0,1,1,0
Red Alyn,Night's Watch,3,1,0,0,0,1,0,0
Red Rolfe,House Greyjoy,2,1,0,0,1,0,0,0
Reek,None,2,1,0,0,1,0,0,0
Renly Baratheon,House Baratheon,2,1,1,1,1,0,0,0
Reysen,Night's Watch,,1,0,0,1,0,0,0
Reznak mo Reznak,None,,1,1,0,0,0,0,1
Rhaegar Frey,None,5,1,1,0,0,0,0,1
Rhogoro,None,,1,1,1,0,0,0,0
Ricasso,House Martell,,1,0,0,0,0,1,1
Richard Horpe,Baratheon,,1,1,0,0,0,0,1
Rickard Karstark,Stark,3,1,1,1,1,1,0,0
Rickard Ryswell,Stark,,1,1,0,0,0,0,1
Rickon Stark,House Stark,,1,1,1,1,0,0,0
Rigney,None,,1,0,0,0,0,1,0
Robar Royce,Baratheon,2,1,1,1,1,1,0,0
Robb Stark,House Stark,3,1,1,1,1,1,0,0
Robert Baratheon,House Baratheon,1,1,1,1,0,0,0,0
Robert Arryn,House Arryn,,1,1,1,0,1,1,0
Robett Glover,Stark,,1,1,1,1,0,0,1
Robin Flint,Stark,3,1,1,1,1,1,0,0
Robin Moreland,Lannister,,1,1,0,0,0,1,0
Robin Ryger,Tully,,1,1,0,1,1,1,0
Rodrik Cassel,Stark,2,1,1,1,1,0,0,0
Rodrik Harlaw,Greyjoy,,1,1,0,0,0,1,0
Rodrik Ryswell,None,,1,1,0,0,0,0,1
Roger Hogg,Lannister,,1,1,0,0,0,1,0
Roger Ryswell,Stark,,1,1,0,0,0,0,1
Roland Crakehall (Lord),Lannister,,1,1,0,1,0,0,0
Rolder,House Lannister,,1,0,0,0,0,1,0
Rolfe,Greyjoy,,1,0,0,1,0,0,0
Rollam Westerling,Stark,,1,1,0,0,1,0,0
Rolfe the Dwarf,House Greyjoy,5,1,0,0,0,0,0,1
Rolley,Night's Watch,3,1,0,0,0,1,0,0
Rolly Duckfield,Targaryen,,1,0,0,0,0,0,1
Rolph Spicer,Lannister,,1,1,0,0,1,0,0
Romny Weaver,Greyjoy,,1,1,0,0,0,1,0
Ronald Storm,None,,1,0,0,0,0,0,1
Ronnel Harclay,Night's Watch,,1,1,0,0,1,0,0
Ronnet Connington,Baratheon,,1,1,0,1,0,1,1
Roose Bolton,Stark,,1,1,1,1,1,0,1
Roose Ryswell,None,,1,1,0,0,0,0,1
Rorge,None,4,1,0,0,1,1,1,0
Roslin Frey,None,,0,1,0,0,1,0,0
Rowan,Wildling,5,1,0,0,0,0,0,1
Rudge,Night's Watch,,1,0,1,0,0,0,0
Rusty Flowers,Night's Watch,,1,0,0,0,0,0,1
Ryger Rivers,None,,1,0,1,0,0,0,0
Ryk,Wildling,,1,0,0,0,1,0,0
Rupert Brax,House Lannister,2,1,0,0,1,0,0,0
Ryman Frey,None,4,1,1,0,0,1,1,0
Rymolf Stormdrunk,House Greyjoy,,1,0,0,1,0,0,0
Ryon Allyrion,Martell,,1,1,0,0,1,0,1
Salladhor Saan,Baratheon,,1,1,0,1,1,0,0
Sallor,None,3,1,0,0,0,1,0,0
Samwell Tarly,Night's Watch,,1,1,1,1,1,1,1
Sandor Clegane,None,4,1,1,1,1,1,1,0
Sawane Botley,Greyjoy,4,1,1,0,0,0,1,0
Sansa Stark,Stark,,0,1,1,1,1,1,0
Sarella Sand,House Martell,,0,0,0,0,0,1,0
Sarra Frey,None,,0,1,0,0,1,0,0
Satin,Night's Watch,,1,0,0,1,1,0,1
Sawwood,Night's Watch,,1,0,0,0,1,0,0
Sedgekins,None,,1,0,0,0,1,0,0
Selyse Florent,Baratheon,,0,1,0,1,1,0,1
Senelle,House Lannister,4,0,0,0,0,0,1,0
Serra Frey,None,,0,1,0,0,1,0,0
Shadrich,None,,1,0,0,0,0,1,0
Shae,Lannister,3,0,0,1,1,1,0,0
Shagga,Lannister,,1,0,1,1,0,0,0
Shagwell,None,4,1,0,0,1,1,1,0
Sharna,None,,0,0,0,0,1,0,0
Shireen Baratheon,Baratheon,,0,1,0,1,1,0,1
Shirei Frey,None,,0,1,0,0,1,0,0
Shyra Errol,Baratheon,4,0,1,0,1,0,0,0
Sigfry Stonetree,Greyjoy,,1,1,0,0,0,1,0
Skahaz mo Kandaq,None,,1,1,0,0,0,0,1
Skinner,None,,1,0,0,0,0,0,1
Small Paul,Night's Watch,3,1,0,0,0,1,0,0
Softfoot,Night's Watch,3,1,0,0,0,1,0,0
Sour Alyn,None,,1,0,0,0,0,0,1
Spare Boot,Night's Watch,,1,0,0,0,1,0,0
Spotted Cat,None,,1,0,0,0,0,0,1
Spotted Pate of Maidenpool,Night's Watch,3,1,0,0,0,1,0,0
Squint,House Greyjoy,2,1,0,0,1,0,0,0
Squirrel,Wildling,5,0,0,0,0,0,0,1
Stalwart Shield,Targaryen,5,1,0,0,0,0,0,1
Steelskin,None,,1,0,0,0,0,0,1
Steffon Swyft,Lannister,,1,1,0,0,0,1,0
Stevron Frey,Stark,2,1,1,1,1,0,0,0
Stiv,Wildling,1,1,0,1,0,0,0,0
Stone Thumbs,Wildling,3,1,0,0,0,1,0,0
Stonesnake,Night's Watch,,1,0,0,1,0,0,0
Stygg,House Greyjoy,,1,0,0,1,0,0,0
Styr,Wildling,3,1,1,0,0,1,0,0
Sybassion,None,,1,0,0,1,0,0,0
Sybell Spicer,Lannister,,0,1,0,0,1,1,0
Sybelle Glover,Stark,,0,1,0,0,0,0,1
Sylva Santagar,Martell,,0,1,0,0,0,1,0
Symon Silver Tongue,Lannister,3,1,0,0,1,1,0,0
Symon Stripeback,Targaryen,,1,0,0,0,0,0,1
Symond Frey,None,5,1,1,0,0,0,0,1
Symond Templeton,Arryn,,1,1,0,0,0,1,0
Syrio Forel,House Stark,1,1,0,1,0,0,0,0
Taena of Myr,Lannister,,0,1,0,0,1,1,0
Tal Toraq,Targaryen,,1,0,0,0,0,0,1
Tallad,Lannister,,1,0,0,1,1,1,0
Tanda Stokeworth,Lannister,4,0,1,0,1,1,0,0
Tanton Fossoway,Baratheon,,1,1,0,1,0,0,0
Ternesio Terys,None,,1,0,0,0,1,0,0
Terrance Lynderly,Arryn,,1,1,0,0,0,1,0
The Red Lamb,House Targaryen,,1,0,0,0,0,0,1
Theo Frey,None,,1,1,1,0,0,0,0
Theodan Wells,Stark,,1,1,0,0,0,1,1
Theomore Lannister,None,,1,1,0,0,0,0,1
Theon Greyjoy,House Greyjoy,,1,1,1,1,0,0,1
Thistle,Wildling,5,0,0,0,0,0,0,1
Thoren Smallwood,Night's Watch,3,1,1,0,1,1,0,0
Thoros,None,,1,0,1,0,1,1,0
Three Toes,None,,1,0,0,0,1,0,0
Three-Tooth,Greyjoy,,0,0,0,0,0,1,0
Tickler,Lannister,3,1,0,0,1,1,0,0
Tim Tangletongue,Night's Watch,,1,0,0,0,1,0,0
Timeon,None,4,1,0,0,0,1,1,0
Timett,Lannister,,1,0,1,1,0,0,0
Timon,Baratheon,,1,0,0,1,0,0,0
Tion Frey,Lannister,3,0,1,0,0,1,0,0
Tobho Mott,None,,1,0,1,0,1,0,0
Todder,Night's Watch,,1,0,1,0,1,0,1
Todric,Greyjoy,2,1,0,0,1,0,0,0
Tom of Sevenstreams,None,,1,0,0,0,1,1,0
Tomard,House Stark,1,1,0,1,0,0,0,0
Tormund,Wildling,,1,1,0,0,1,0,1
Torrek,None,,1,0,1,0,0,0,0
Torrhen Karstark,Stark,1,1,1,1,0,0,0,0
Tothmure,Lannister,2,1,0,0,1,0,0,0
Tregar,House Lannister,1,1,0,1,0,0,0,0
Tremond Gargalen,Martell,,1,1,0,0,1,0,1
Tristifer Botley,Greyjoy,,1,1,0,0,0,1,1
Triston Sunderland,Lannister,,1,1,0,0,0,0,1
Tuffleberry,None,,1,0,0,1,0,0,0
Tumberjon,Night's Watch,,1,0,0,0,1,0,0
Tumco Lho,Targaryen,,1,0,0,0,0,0,1
Tybero Istarion,None,,1,0,0,0,0,0,1
Tycho Nestoris,None,,1,0,0,0,0,0,1
Tyene Sand,House Martell,,0,1,0,0,0,1,1
Tymor,House Greyjoy,2,1,0,0,1,0,0,0
Tyrek Lannister,House Lannister,2,1,1,1,1,0,0,0
Tyrion Lannister,Lannister,,1,1,1,1,1,0,1
Tyta Frey,None,,0,1,0,0,1,0,0
Tytos Blackwood,Tully,,1,1,1,0,1,0,1
Tytos Brax,Lannister,,1,1,1,1,0,0,0
Tytos Frey,None,3,1,1,0,0,1,0,0
Tywin Lannister,House Lannister,3,1,1,1,1,1,0,0
Ulf son of Umar,Lannister,1,1,0,1,0,0,0,0
Ulf the Ill,House Greyjoy,2,1,0,0,1,0,0,0
Ulmer,Night's Watch,,1,0,0,0,1,0,1
Ulwyck Uller,Martell,,1,1,0,0,1,0,1
Umar,None,,1,0,1,0,0,0,0
Umfred,None,,1,0,0,0,1,0,0
Unella,None,,1,0,0,0,0,1,0
Urreg,Night's Watch,2,1,0,0,1,0,0,0
Urswyck,None,,1,0,0,0,1,0,0
Utherydes Wayn,Tully,,1,0,1,1,1,0,0
Utt,None,3,1,0,0,1,1,0,0
Val,Wildling,,0,0,0,0,1,0,1
Varamyr,Wildling,5,1,0,0,0,1,0,1
Vardis Egen,Arryn,1,1,0,1,0,0,0,0
Vargo Hoat,None,3,1,0,0,1,1,0,0
Varys,Targaryen,,1,0,1,1,1,0,1
Vayon Poole,Stark,1,1,0,1,1,0,0,0
Victarion Greyjoy,House Greyjoy,,1,1,0,1,0,1,1
Viserys Targaryen,House Targaryen,1,1,1,1,0,0,0,0
Vylarr,House Lannister,,1,0,0,1,0,0,0
Vyman,Tully,,1,0,0,1,1,1,0
Waif,None,,0,0,0,0,0,1,1
Walda Rivers (daughter of Aemon),None,,0,1,0,0,1,0,0
Walder Frey,None,,1,1,1,0,1,0,0
Walder Rivers,None,,1,1,0,0,1,1,0
Wallen,Wildling,1,1,0,1,0,0,0,0
Walton,None,,1,0,0,1,1,0,1
Wat (orphan),None,,1,0,0,0,0,1,0
Wat (sailor),None,,1,0,0,0,0,1,0
Watt,Night's Watch,3,1,0,0,0,1,0,0
Watty,None,,1,0,0,0,1,0,0
Waymar Royce,Night's Watch,1,1,1,1,0,0,0,0
Wayn (guard),House Stark,,1,0,1,0,0,0,0
Weasel,None,,0,0,0,1,0,0,0
Weeper,Wildling,,1,1,0,0,1,0,0
Weese,Lannister,2,1,0,0,1,0,0,0
Wendel Manderly,Stark,3,1,1,1,1,1,0,0
Wendello Qar Deeth,None,,1,1,0,1,0,0,0
Werlag,House Greyjoy,2,1,0,0,1,0,0,0
Wex Pyke,Stark,,1,0,0,1,0,0,1
Whalen Frey,None,,1,1,1,0,1,0,0
Wilbert,Stark,3,1,0,0,0,1,0,0
Will,Night's Watch,1,1,0,1,0,0,0,0
Will (orphan),None,,1,0,0,0,0,1,0
Willam Wells,Martell,5,1,0,0,0,0,0,1
Willem Lannister,House Lannister,3,1,1,0,0,1,0,0
William Mooton,Tully,,1,1,0,0,0,1,0
Willis Wode,Arryn,,1,1,1,0,0,0,0
Willit,Lannister,,1,0,0,1,0,0,0
Willow Witch-eye,Wildling,5,0,0,0,0,0,0,1
Willum,Tully,,1,0,1,0,0,0,0
Woth,Night's Watch,2,1,0,0,1,0,0,0
Wulfe,House Greyjoy,,1,0,0,0,0,1,1
Wun Weg Wun Dar Wun,Wildling,,1,0,0,0,0,0,1
Wyl (guard),House Stark,1,1,0,1,0,0,0,0
Wyl the Whittler,None,3,1,0,0,0,1,0,0
Wylis Manderly,Stark,,1,1,1,1,0,1,0
Wylla Manderly,Stark,,0,1,0,0,0,0,1
Wyman Manderly,Stark,,1,1,0,1,0,0,1
Wynafryd Manderly,Stark,,1,1,0,0,0,0,1
Wynton Stout,Night's Watch,,1,0,0,0,1,0,0
Xaro Xhoan Daxos,None,,1,1,0,1,0,0,1
Xhondo,None,,1,0,0,0,0,1,0
Yandry,House Targaryen,,1,0,0,0,0,0,1
Yellow Dick,None,5,1,0,0,0,0,0,1
Ygon Farwynd,Greyjoy,,1,1,0,0,0,1,0
Ygritte,Wildling,3,0,0,0,1,1,0,0
Yohn Farwynd,Greyjoy,,1,1,0,0,0,1,0
Yohn Royce,Arryn,,1,1,1,0,0,1,0
Yoren,Night's Watch,2,1,0,1,1,0,0,0
Young Henly,Night's Watch,3,1,0,0,0,1,0,0
Ysilla,House Targaryen,,1,0,0,0,0,0,1
Zei,Stark,,0,0,0,0,1,0,0
Zollo,None,,1,0,0,0,1,0,0
Yurkhaz zo Yunzak,None,5,1,0,0,0,0,0,1
Yezzan Zo Qaggaz,None,5,1,1,0,0,0,0,1
Torwynd the Tame,Wildling,5,1,0,0,0,1,0,0
Talbert Serry,Tyrell,4,1,1,0,0,0,1,0
